name,slug,NBA_3PA,NBA_3P%,NCAA_FT%,NCAA_3P%,NCAA_FTA
Chris Webber,webbech01,883,0.299,0.53,0.306,296
David Wesley,wesleda01,3051,0.368,0.828,0.377,441
Chris Whitney,whitnch01,1528,0.361,0.788,0.413,179
Jason Williams,willija02,3784,0.327,0.793,0.394,145
Walt Williams,williwa02,2575,0.379,0.762,0.359,504
Mahmoud Abdul-Rauf,abdulma02,1339,0.354,0.863,0.372,410
Raja Bell,bellra01,2357,0.406,0.73,0.35,434
Jamal Crawford,crawfja01,6379,0.348,0.784,0.327,51
Keyon Dooling,doolike01,1277,0.349,0.733,0.338,277
Eddie House,houseed01,2096,0.39,0.798,0.366,336
DerMarr Johnson,johnsde03,815,0.336,0.737,0.371,95
Mike Miller,millemi01,3910,0.407,0.718,0.345,284
Morris Peterson,petermo01,2702,0.373,0.746,0.377,426
Michael Redd,reddmi01,2751,0.38,0.649,0.319,547
Quentin Richardson,richaqu01,3288,0.355,0.728,0.369,302
James Robinson,robinja02,1151,0.348,0.697,0.371,462
Gilbert Arenas,arenagi01,3077,0.351,0.738,0.361,282
Shane Battier,battish01,3254,0.384,0.777,0.416,561
Charlie Bell,bellch01,1213,0.361,0.782,0.343,390
Maurice Evans,evansma01,1172,0.363,0.752,0.382,387
Eddie Griffin,griffed01,752,0.315,0.734,0.32,109
Mike James,jamesmi01,1813,0.379,0.726,0.329,336
Richard Jefferson,jefferi01,2769,0.376,0.718,0.368,298
Joe Johnson,johnsjo02,5331,0.371,0.753,0.406,170
Michael Jordan,jordami01,1778,0.327,0.748,0.447,420
Troy Murphy,murphtr01,1578,0.388,0.777,0.335,755
Jason Richardson,richaja01,4344,0.37,0.649,0.383,148
Bobby Simmons,simmobo01,955,0.396,0.783,0.331,429
Jamaal Tinsley,tinslja01,1326,0.299,0.685,0.327,336
Gerald Wallace,wallage01,1303,0.312,0.568,0.175,155
Earl Watson,watsoea01,1551,0.324,0.654,0.341,428
Devin Brown,brownde02,888,0.338,0.733,0.309,652
Caron Butler,butleca01,2144,0.348,0.768,0.364,370
Rasual Butler,butlera01,2520,0.362,0.829,0.359,409
Juan Dixon,dixonju01,972,0.341,0.85,0.389,501
Fred Jones,jonesfr01,979,0.353,0.805,0.338,483
Roger Mason,masonro01,1549,0.383,0.869,0.375,366
Jannero Pargo,pargoja01,1124,0.356,0.82,0.425,122
Smush Parker,parkesm01,838,0.345,0.73,0.328,137
Tayshaun Prince,princta01,1550,0.367,0.743,0.329,370
Kareem Rush,rushka01,805,0.358,0.777,0.422,332
John Salmons,salmojo01,1986,0.366,0.805,0.321,389
Carmelo Anthony,anthoca01,4151,0.349,0.706,0.337,238
Matt Barnes,barnema02,2931,0.335,0.566,0.314,355
Steve Blake,blakest01,2709,0.383,0.771,0.381,271
Keith Bogans,boganke01,2020,0.353,0.688,0.342,475
Chris Bosh,boshch01,910,0.335,0.73,0.478,174
Matt Carroll,carroma01,896,0.384,0.825,0.395,355
Willie Green,greenwi01,1494,0.346,0.757,0.352,477
Jarvis Hayes,hayesja01,1101,0.356,0.772,0.369,263
Kirk Hinrich,hinriki01,3122,0.375,0.776,0.43,371
Josh Howard,howarjo01,1029,0.332,0.708,0.353,511
James Jones,jonesja02,1937,0.401,0.831,0.383,366
Jason Kapono,kaponja01,1054,0.434,0.83,0.446,458
Kyle Korver,korveky01,5715,0.429,0.891,0.453,350
Luke Ridnour,ridnolu01,1674,0.349,0.859,0.389,389
Dwyane Wade,wadedw01,1874,0.293,0.745,0.333,404
Mo Williams,willima01,2891,0.378,0.847,0.294,215
Trevor Ariza,arizatr01,4362,0.352,0.504,0.237,113
Matt Bonner,bonnema01,1923,0.414,0.74,0.395,331
Luol Deng,denglu01,1982,0.332,0.71,0.36,138
Chris Duhon,duhonch01,1788,0.363,0.693,0.321,349
Ben Gordon,gordobe01,2921,0.401,0.795,0.423,464
Devin Harris,harride01,2558,0.325,0.778,0.375,465
Andre Iguodala,iguodan01,3013,0.333,0.738,0.274,206
Kevin Martin,martike02,2969,0.384,0.841,0.346,635
Jameer Nelson,nelsoja01,3134,0.368,0.786,0.365,584
Delonte West,westde01,1012,0.372,0.831,0.377,267
Alan Anderson,anderal01,963,0.344,0.831,0.366,456
Raymond Felton,feltora01,2813,0.329,0.731,0.375,353
Channing Frye,fryech01,2706,0.388,0.759,0.261,486
Ryan Gomes,gomesry01,956,0.349,0.789,0.352,620
Danny Granger,grangda01,2644,0.38,0.753,0.366,598
Luther Head,headlu01,1162,0.388,0.752,0.382,242
Jarrett Jack,jackja01,1809,0.343,0.796,0.359,452
Linas Kleiza,kleizli01,1154,0.335,0.707,0.287,297
Rashad McCants,mccanra01,793,0.368,0.721,0.415,377
Chris Paul,paulch01,3730,0.37,0.838,0.47,365
Ronnie Price,pricero01,808,0.302,0.788,0.345,453
Nate Robinson,robinna01,2255,0.36,0.793,0.348,333
Charlie Villanueva,villach01,2101,0.341,0.681,0.393,204
Deron Williams,willide01,3296,0.357,0.685,0.374,216
Lou Williams,willilo02,3871,0.349,0.643,0.0,14
Marvin Williams,willima02,2894,0.361,0.847,0.432,163
Shannon Brown,brownsh01,831,0.332,0.831,0.364,290
Jordan Farmar,farmajo01,1559,0.374,0.76,0.333,263
Randy Foye,foyera01,3017,0.366,0.781,0.329,498
Rudy Gay,gayru01,2818,0.347,0.721,0.378,244
Daniel Gibson,gibsoda01,1419,0.407,0.741,0.387,232
Kyle Lowry,lowryky01,4636,0.366,0.737,0.325,228
Paul Millsap,millspa01,1410,0.343,0.62,0.375,623
Steve Novak,novakst01,1337,0.43,0.931,0.461,261
JJ Redick,redicjj01,4526,0.416,0.912,0.406,726
Rajon Rondo,rondora01,1207,0.316,0.577,0.283,222
Brandon Roy,roybr01,925,0.348,0.765,0.344,468
PJ Tucker,tuckepj01,1911,0.361,0.711,0.5,409
Shawne Williams,willish03,812,0.339,0.786,0.312,145
Arron Afflalo,afflaar01,2205,0.386,0.781,0.373,375
Corey Brewer,breweco01,1774,0.284,0.708,0.356,384
Aaron Brooks,brookaa01,2218,0.37,0.834,0.374,367
Wilson Chandler,chandwi01,2560,0.341,0.659,0.303,176
Mike Conley,conlemi01,3150,0.375,0.694,0.304,144
Daequan Cook,cookda02,1232,0.359,0.697,0.415,66
Jared Dudley,dudleja01,2241,0.393,0.731,0.365,784
Kevin Durant,duranke01,4122,0.381,0.816,0.404,256
Jeff Green,greenje02,2795,0.334,0.7,0.359,400
Spencer Hawes,hawessp01,1026,0.35,0.755,0.333,98
Al Horford,horfoal01,1275,0.364,0.619,0.0,444
Rodney Stuckey,stuckro01,921,0.3,0.806,0.317,479
