name,slug,NBA_3PA,NBA_3P%,NCAA_FT%,NCAA_3P%
Nik Stauskas,stausni01,1121,0.353,0.832,0.441
Lance Stephenson,stephla01,1099,0.315,0.664,0.219
Klay Thompson,thompkl01,4291,0.419,0.827,0.39
Dwyane Wade,wadedw01,1874,0.293,0.745,0.333
John Wall,walljo01,1663,0.324,0.754,0.325
Nick Young,youngni01,2764,0.376,0.764,0.368
Arron Afflalo,afflaar01,2205,0.386,0.781,0.373
Luke Babbitt,babbilu01,979,0.402,0.893,0.421
Aaron Brooks,brookaa01,2218,0.37,0.834,0.374
Mario Chalmers,chalmma01,2153,0.351,0.767,0.419
Jordan Crawford,crawfjo02,1041,0.317,0.765,0.384
Jarrett Jack,jackja01,1809,0.343,0.796,0.359
Richard Jefferson,jefferi01,2769,0.376,0.718,0.368
Brandon Jennings,jennibr01,2648,0.345,0.771,0.333
Joe Johnson,johnsjo02,5331,0.371,0.753,0.406
Jameer Nelson,nelsoja01,3134,0.368,0.786,0.365
Kyle Singler,singlky01,826,0.362,0.773,0.363
Josh Smith,smithjo03,1578,0.285,0.5,
Jason Terry,terryja01,6010,0.38,0.784,0.374
Derrick Williams,willide02,838,0.3,0.813,0.431
Alan Anderson,anderal01,963,0.344,0.831,0.366
Matt Barnes,barnema02,2931,0.335,0.566,0.314
Toney Douglas,douglto01,1256,0.354,0.802,0.376
Mike Dunleavy,dunlemi02,3460,0.377,0.798,
Jordan Farmar,farmajo01,1559,0.374,0.76,0.333
Randy Foye,foyera01,3017,0.366,0.781,0.329
Spencer Hawes,hawessp01,1026,0.35,0.755,0.333
Gerald Henderson,hendege02,762,0.327,0.627,
James Jones,jonesja02,1937,0.401,0.831,0.383
Ty Lawson,lawsoty01,1319,0.359,0.78,0.403
Mike Miller,millemi01,3910,0.407,0.718,0.345
Anthony Morrow,morroan01,1937,0.417,0.867,0.421
Gary Neal,nealga01,1203,0.382,0.827,0.359
Steve Novak,novakst01,1337,0.43,0.931,0.461
Paul Pierce,piercpa01,5816,0.368,0.697,0.355
Ronnie Price,pricero01,808,0.302,0.788,0.345
Brandon Rush,rushbr01,1300,0.402,0.733,0.435
Rodney Stuckey,stuckro01,921,0.3,0.806,0.317
Hollis Thompson,thompho01,941,0.386,0.676,0.44
Marcus Thornton,thornma01,2051,0.358,0.771,0.382
CJ Watson,watsocj01,1263,0.373,0.777,0.396
Deron Williams,willide01,3296,0.357,0.685,0.374
Steve Blake,blakest01,2709,0.383,0.771,0.381
Matt Bonner,bonnema01,1923,0.414,0.74,0.395
Chris Bosh,boshch01,910,0.335,0.73,0.478
Chase Budinger,budinch01,1172,0.352,0.782,0.383
Caron Butler,butleca01,2144,0.348,0.768,0.364
Rasual Butler,butlera01,2520,0.362,0.829,0.359
Kirk Hinrich,hinriki01,3122,0.375,0.776,0.43
Kevin Martin,martike02,2969,0.384,0.841,0.346
OJ Mayo,mayooj01,2287,0.373,0.803,0.409
Andre Miller,millean02,888,0.217,0.676,0.294
Tayshaun Prince,princta01,1550,0.367,0.743,0.329
Nate Robinson,robinna01,2255,0.36,0.793,0.348
Charlie Villanueva,villach01,2101,0.341,0.681,0.393
Mo Williams,willima01,2891,0.378,0.847,0.294
Shannon Brown,brownsh01,831,0.332,0.831,0.364
Ben Gordon,gordobe01,2921,0.401,0.795,0.423
Danny Granger,grangda01,2644,0.38,0.753,0.366
Willie Green,greenwi01,1494,0.346,0.757,0.352
Shawn Marion,mariosh01,2390,0.331,0.73,0.299
Jannero Pargo,pargoja01,1124,0.356,0.82,0.425
Jason Richardson,richaja01,4344,0.37,0.649,0.383
Luke Ridnour,ridnolu01,1674,0.349,0.859,0.389
John Salmons,salmojo01,1986,0.366,0.805,0.321
Gerald Wallace,wallage01,1303,0.312,0.568,0.175
Shawne Williams,willish03,812,0.339,0.786,0.312
